,KEYWORDS,SUMMARY,TEXT,TITLE,URL
0,"['protecting', 'identity', 'bank', 'equifax', 'hackers', 'credit', 'data', 'banks', 'breaches', 'click', 'authentication', 'account', 'security', 'twofactor', 'wake']","Click here to check if your personal data was exposed in the Equifax data breach.
Two-factor authentication (2FA) adds an extra verification step to the login process of your most critical accounts.
Incredibly, not all banks support two-factor authentication.
You can usually set up two-factor authentication either on your online banking account page or within the bank’s official app.
If they can steal your identity and bank account, they will, and as expediently as possible.","The name “Equifax” now sends shivers down our spines. The company we trusted to handle our credit scores has become a pariah of the financial world since it allowed hackers to steal vital information from 145 million American adults.

I’m one of them. You probably are too. Click here to check if your personal data was exposed in the Equifax data breach.

How much information was stolen? Let’s start with the basics: Your name, Social Security number and birthdate. That alone is a treasure trove for identity thieves. But they also may have your address and driver’s license number. These people know where you live. They can find out almost anything about you. The list of nefarious things they can do is beyond comprehension.

An example? Click here to learn how the Equifax breach lets ID thieves have surgery on your dime.

Here’s my best advice: Assume the worst. The hackers have your information, and Equifax can’t do anything to protect you. Law enforcement is too overwhelmed to find the culprits, and you are completely exposed.

Here’s what to do next.

Establish two-factor authentication

If you work at a modern business or organization, you’re probably familiar with this process already. Two-factor authentication (2FA) adds an extra verification step to the login process of your most critical accounts. When a website asks for your user name and password, you may also receive a text message or an email with a special code. This is a standard practice and is considered safe.

The idea is that even though hackers may have figured out your credentials, they won't be able to access your account without the special code. Cybercriminals would have to nab your physical cellphone, which is probably protected by a passcode, as well. Using this system makes the task much too complicated, especially when many hackers are located in other countries.

Who allows 2FA?

Several websites and email providers already offer 2FA to help protect accounts. The problem is that these sites and providers don’t seem to promote these extra security measures. It’s up to users to figure it out.

Use Amazon, Google or Facebook? How about Apple or Microsoft? All offer 2FA protection, but only if you take a few minutes to set it up. Click here for the steps you need to take now to lock down your accounts.

But what about banks? Incredibly, not all banks support two-factor authentication. Given recent events, I expect this to change. In the meantime, you’ll have to check and see if your online banking permits 2FA. If it does, sign up for it right away.

You can usually set up two-factor authentication either on your online banking account page or within the bank’s official app. Here are the links to some of the more popular banks or financial institutions' two-factor authentication setup pages:

· Bank of America

· Capital One

· Discover

· USAA

· Wells Fargo

If your bank is not on the list, call or visit it.

Prevent identity theft

OK, you’ve done your best to secure your accounts and made it hard for hackers to break into your bank or email. But remember, the Equifax hack happened last spring. Cybercriminals have had plenty of time to steal your identity. So what can you do to keep them from finishing the job?

Try executing a “credit freeze,” more accurately known as a “security freeze.” The name may sound strange, almost like sabotaging your own finances, but it’s a common defensive maneuver. If you suspect someone is already pretending to be you, you can lock your credit reports so that no one can open a new account in your name.

How does this work? Lenders consult your credit score before they start a partnership with you. If lenders can’t check those scores, no new accounts can be established.

Click here to learn more about how to set up a security freeze.

The most important thing is not to wait. Hackers move quickly, and this is their fulltime job. If they can steal your identity and bank account, they will, and as expediently as possible. Equifax made one of the biggest blunders in banking history. Now it’s up to us to clean up the mess.

How else can you protect your finances? Call my national radio show and click here to find it on your local radio station. You can listen to the Kim Komando Show on your phone, tablet or computer. From buying advice to digital life issues, click here for my free podcasts.

Copyright 2017, WestStar Multimedia Entertainment. All rights reserved.

Learn about all the latest technology on the Kim Komando Show, the nation's largest weekend radio talk show. Kim takes calls and dispenses advice on today's digital lifestyle, from smartphones and tablets to online privacy and data hacks. For her daily tips, free newsletters and more, visit her website at Komando.com.",Protecting your bank account in the wake of data breaches,https://www.foxnews.com/tech/2017/11/04/protecting-your-bank-account-in-wake-data-breaches.html
1,"['replacing', 'considered', 'fainted', 'review', 'according', 'clinton', 'campaign', 'dnc', 'brazile', 'chair', 'biden', 'writes', 'presidential', 'report', 'post', 'book']","Former DNC leader Donna Brazile says she considered replacing 2016 presidential candidate Hillary Clinton with then-Vice President Joe Biden after Clinton fainted in the closing weeks of the White House race, according to full review of Brazile’s upcoming book published Saturday.
Clinton fainted while attending an outdoor ceremony in New York City marking the 15th anniversary of the 9/11 attacks.
Brazile said Clinton was already “wobbly on her feet” and had a “rattled cough,” according to the review.
She purportedly thought they had the best potential to win over working-class voters and defeat Republican nominee Donald Trump, according to the book review.
I could not do this to them,” Brazile writes.","Former DNC leader Donna Brazile says she considered replacing 2016 presidential candidate Hillary Clinton with then-Vice President Joe Biden after Clinton fainted in the closing weeks of the White House race, according to full review of Brazile’s upcoming book published Saturday.

Clinton fainted while attending an outdoor ceremony in New York City marking the 15th anniversary of the 9/11 attacks. But Brazile, then the interim Democratic National Committee chairwoman, had already known that Clinton has pneumonia, she writes in her upcoming book, according to The Washington Post, which received an advance copy.

The Post’s review of the book -- “Hacks: The Inside Story of the Break-ins and Breakdowns that Put Donald Trump in the White House” -- says Brazile writes in “wrenching detail” about the former first lady’s bout with pneumonia, including her seeing Clinton at a Manhattan gala two days before she collapsed.

Brazile said Clinton was already “wobbly on her feet” and had a “rattled cough,” according to the review.

Clinton's former campaign team said in an open letter posted Saturday on the blogging platform Medium that they were dismayed by Brazile's revelations.

""We were shocked to learn the news that Donna Brazile actively considered overturning the will of the Democratic voters by attempting to replace Hillary Clinton and Tim Kaine as the Democratic Presidential and Vice Presidential nominees,"" reads the opening of the letter.""It is particularly troubling and puzzling that she would seemingly buy into false Russian-fueled propaganda, spread by both the Russians and our opponent, about our candidate’s health.""

The Post review was published two days after Brazile published excerpts of the book in Politico that including bombshell revelations about her taking over the DNC in the summer of 2016 with roughly $20 million in debt.

Brazile also made the startling claim Thursday that a joint fundraising agreement between the DNC and the Clinton campaign, which included Clinton’s input on hirings and spending, effectively rigged the primary contest against Sen. Bernie Sanders.

Brazile also writes, according to the Post review, that she wanted to replace Clinton and Vice Presidential Nominee Sen. Tim Kaine with a ticket of Biden and New Jersey Sen. Cory Booker as his running mate. She purportedly thought they had the best potential to win over working-class voters and defeat Republican nominee Donald Trump, according to the book review.

But “I thought of Hillary, and all the women in the country who were so proud of and excited about her. I could not do this to them,” Brazile writes.

The Post review also states that Brazile, when frustrated with Clinton aides, would remind them that the DNC charter gave her the authority to initiate the replacement of the party's presidential nominee.

She said that if a nominee became disabled, the party chairman would oversee the replacement process, though it would ultimately require a meeting of the entire DNC.

The review also details Brazile's reported wide-ranging takedown of the Clinton campaign over such matters as perceived “inevitability” and a focus on analytics over truly understanding voters.

Brazile also reportedly says she cannot remember sending an email, as a paid CNN contributor, to the Clinton campaign sharing potential topics and questions in advance of a town hall event the cable news network was hosting, nor does she have a record of sending it. However, she nevertheless apologized. The email was released by WikiLeaks.",Brazile as DNC chair considered replacing Clinton with Biden after she fainted: report,http://www.foxnews.com/politics/2017/11/04/brazile-as-dnc-chair-considered-replacing-clinton-with-biden-after-fainted-report.html
2,"['outback', 'walked', 'leaves', 'waitress', 'thought', 'going', 'restaurant', 'working', 'things', 'wrongmexican', 'chrissy', '1000', 'teigen', 'daily', 'scott', 'model', 'steakhouse', 'tip']","A waitress in Ohio received the biggest tip of her life from Chrissy Teigen.
Mikayla Scott, 21, was working at an Outback Steakhouse in Centerville on Oct. 27 when the model and a few others walked into the restaurant, the Dayton Daily News reported.
“She walked in with all her glam,” Scott said.
“People kept saying you are going to get a fat tip,” Scott said.
“I was like ‘Oh my god, praise the Lord.’”Teigen was in the area with her husband, John Legend, for a football game, Fox 8 reported.","A waitress in Ohio received the biggest tip of her life from Chrissy Teigen.

Mikayla Scott, 21, was working at an Outback Steakhouse in Centerville on Oct. 27 when the model and a few others walked into the restaurant, the Dayton Daily News reported.

“She walked in with all her glam,” Scott said. “I was so nervous I was going to do something wrong.”

MEXICAN CARTELS EXTORTING AVOCADO PRODUCERS RAISES PRICE OF GUACAMOLE, REPORT SAYS

But Teigen, who reportedly ordered the Bloomin’ Onion and a chicken sandwich, among other things, must’ve thought pretty highly of Scott’s service because she left the waitress a $1,000 tip on a bill of $193.81.

“People kept saying you are going to get a fat tip,” Scott said. “I was like ‘Oh my god, praise the Lord.’”

Teigen was in the area with her husband, John Legend, for a football game, Fox 8 reported.

Scott said she plans to share some of the money with her coworkers, while the rest will go towards her family’s cars, which need fixing, the Daily News said.

“It was an awesome experience,” Scott said.","Model Chrissy Teigen leaves $1,000 tip at Outback Steakhouse restaurant",https://www.foxnews.com/entertainment/2017/11/03/model-chrissy-teigen-leaves-1000-tip-at-outback-steakhouse-restaurant.html
3,"['clintons', 'braziles', 'future', 'democratic', 'donna', 'chris', 'wallace', 'claims', 'party']",,,Chris Wallace on Donna Brazile's Claims & the Clintons' Future in Democratic Party,http://insider.foxnews.com/2017/11/03/chris-wallace-donna-brazile-dnc-claim-political-future-clintons-democrats
4,"['sources', 'starnes', 'running', 'terror', 'allahu', 'attack', 'nyc', 'vetting', 'tougher', 'tough', 'truck', 'akbar', 'calls', 'todd', 'path', 'chambers', 'west', 'gets', 'innocent']","A terrorist in a rental truck sped for nearly a mile down a popular bike-only path in lower Manhattan on Tuesday -- killing eight people in the shadow of the World Trade Center and then shouting, ""Allahu Akbar.""
""This was an act of terror,"" Mayor Bill de Blasio declared at an evening press conference.
""A particularly cowardly act of terror aimed at innocent civilians, aimed at innocent people going about their lives.""
""He was running around Chambers and somebody started to chase him,"" said a 14-year-old student at nearby Stuyvesant High School, which was just letting out for the day.
Todd explains what needs to be done in order to keep our Country safe!","Attack in NYC! A terrorist in a rental truck sped for nearly a mile down a popular bike-only path in lower Manhattan on Tuesday -- killing eight people in the shadow of the World Trade Center and then shouting, ""Allahu Akbar."" ""This was an act of terror,"" Mayor Bill de Blasio declared at an evening press conference. ""A particularly cowardly act of terror aimed at innocent civilians, aimed at innocent people going about their lives."" Sayfullo Saipov, a 29-year-old immigrant from Uzbekistan, was shot by a cop after getting out of his car at Chambers and West streets with two realistic-looking guns while screaming ""Allahu Akbar"" -- Arabic for ""God is great,"" police sources said. ""He was running around Chambers and somebody started to chase him,"" said a 14-year-old student at nearby Stuyvesant High School, which was just letting out for the day. ""Everybody starts running."" Saipov's bloody, 17-block trail of terror began at 3:05 p.m., when he turned onto the bike path at West Houston Street in a Home Depot flatbed pickup truck he'd rented in Passaic, NJ, police sources said.

Todd explains what needs to be done in order to keep our Country safe!",Todd Get’s Tough! After Attack in NYC Starnes Calls For Tougher Vetting!,https://radio.foxnews.com/2017/11/01/todd-gets-tough-after-attack-in-nyc-starnes-calls-for-tougher-vetting/
5,"['clintons', 'hillary', 'money', 'clinton', 'campaign', 'criminal', 'jarrett', 'primary', 'nomination', 'special', 'dnc', 'federal', 'election', 'process', 'rigging', 'gregg', 'scheme']","The states immediately kicked back nearly all of their share to the DNC which, in turn, kicked back their share and the states’ share to Clinton’s campaign.
It devolved into nothing more than a willing accessory to a devious scheme for Clinton’s campaign to get rich at the expense of Sanders.
The Federal Election Commission must immediately launch an investigation.
Hiding campaign money through false or misleading campaign reports is illegal.
Evidence continues to mount that it was Clinton who may have conspired with the Russians, while also rigging the primary election process to hand herself the Democratic nomination for president.","Hillary Clinton has spent a year crying about how the presidency was stolen from her. Turns out, she stole the Democratic nomination from Bernie Sanders.

The stunning revelation from former Democratic National Committee interim chairperson Donna Brazile that Clinton secretly rigged the primary process by commandeering the DNC should come as no surprise to anyone. Clinton is nothing, if not unethical and corrupt. She always has been. This is precisely why pre-election polls consistently showed that a majority of Americans found her dishonest and untrustworthy.

The critical question now is whether she committed crimes in her theft of the nomination.

The Scheme

According to Brazile, the DNC went broke under the leadership of Florida Rep. Debbie Wasserman Schultz. This dire circumstance presented a perfect scenario for Clinton to seize command of the party apparatus by paying off its debt of roughly $20 million dollars. But in exchange, the DNC executed a written, albeit hidden, agreement transferring to Clinton the committee’s finances, strategy, and money raised -- all to the benefit of Clinton and to the detriment of Vermont Sen. Bernie Sanders, her primary opponent.

Even more deceptions and money shuffling ensued. It was a clever and complicated stratagem, but here is the simple version. During Clinton’s joint fundraising events with the DNC and state parties held across the nation, more than $82 million was raised. The states immediately kicked back nearly all of their share to the DNC which, in turn, kicked back their share and the states’ share to Clinton’s campaign.

With Clinton in control of the Democratic party’s staffing, budgeting, data, analytics, mailings and money, she was able to overcome the serious primary challenge by Sanders in securing the nomination. The DNC, which was supposed to remain neutral, had been neutered by Clinton. It devolved into nothing more than a willing accessory to a devious scheme for Clinton’s campaign to get rich at the expense of Sanders.

There appears to be little doubt that Clinton rigged the election process. It was so unconscionable and unprincipled, that Brazile’s discovery of the incriminating document left her in tears. So she says.

Clinton Crimes?

The Federal Election Commission must immediately launch an investigation. So, too, must the Department of Justice and the FBI. It appears that Clinton may well have violated several laws which could constitute serious crimes.

First, federal law sets strict limits on campaign contributions. Financial records must now be subpoenaed to determine whether these laws were broken. Given Clinton’s past record of shady transactions such as the Whitewater land deal and her sale of cattle futures, there is a strong chance that a document trail will lead investigators to multiple violations of the Federal Election Campaign Act.

Second, if Brazile’s account of Clinton’s artifice is true, it is likely that campaign finance reporting laws were broken under the same Act. Hiding campaign money through false or misleading campaign reports is illegal. In egregious cases it is a crime, not just a civil penalty.

Finally, the funneling of campaign funds from one source to another smacks of money laundering. Any transaction that seeks to conceal or disguise proceeds of illegal activity constitutes money laundering. So, if it can be shown that Clinton violated campaign contribution limits or reporting requirements, then the channeling of the proceeds from one source to another would be the “laundering” of it.

Second Special Counsel

Clinton and her campaign are already suspected of playing a pivotal role in violating federal law by paying a substantial amount of money to a British spy and Russian government sources in order to obtain the infamous and discredited Trump “dossier”. Talking to a Russian in a campaign is not a crime, but paying money to one as part of a political campaign is a crime.

There is also evidence Clinton used her public office to confer a benefit to the Russian government in exchange for millions of dollars in donations to her foundation and cash to her husband. If the Clintons were enriched at the very time Hillary presided over a governing body which unanimously approved the sale of one-fifth of America’s uranium supply to Russia, it would amount to a violation of seven criminal statutes, including racketeering.

Yet, despite calls by the House Judiciary Committee and others on Capitol Hill for Attorney General Jeff Sessions to appoint a special counsel, he has taken no action whatsoever. Perhaps this is because he recused himself from any matter related to Hillary Clinton during his confirmation hearing in January.

This, however, would not legally prevent him from appointing a special counsel to handle the investigation. But it does underscore that Sessions has become so compromised on so many disqualifying matters of vital public interest, including the Trump-Russia case, that he can no longer serve in an able capacity.

As I have written before , Sessions should resign, but not before appointing a special counsel.

It is clear from President Trump’s many comments over the last several months that he has lost all confidence in his attorney general. It is time for him to go.

Hillary Clinton has bemoaned for months that the presidential election was stolen from her and that Donald Trump “colluded” with the Russians. As with many thing in Clinton’s mind, she has it backwards.

Evidence continues to mount that it was Clinton who may have conspired with the Russians, while also rigging the primary election process to hand herself the Democratic nomination for president.

If she committed crimes in the process, she should be charged, convicted and punished.",Gregg Jarrett: Hillary Clinton's scheme in 'rigging' the nomination may have been criminal,http://www.foxnews.com/opinion/2017/11/03/gregg-jarrett-hillary-clintons-scheme-in-rigging-nomination-may-have-been-criminal.html
6,"['deputy', 'wanted', 'cops', 'funeral', 'adorable', 'cohens', 'officer', 'cohen', 'salute', 'toy', 'mother', 'fallen', 'honorary', 'officers', '3yearold', 'county', 'wrote', 'named']","A 3-year-old aspiring police officer wanted to honor one of his heroes.
Cohen Chastain heard that a Polk County police officer, Detective Kristen Hearne, 29, was killed while responding to a call about a stolen vehicle.
In an endearing gesture, the 3-year-old showed up at her funeral procession in cop superhero uniform and saluted every officer that passed by him, WSB-TV reported.
He is so sweet and has always had the biggest heart,” said Cohen’s mother, Mandy Brooks Chastain.
The Floyd County Sherriff’s Office, where Hearne started her career, noticed little Cohen’s adorable salute and wanted to reward him for his dedication.","A 3-year-old aspiring police officer wanted to honor one of his heroes.

Cohen Chastain heard that a Polk County police officer, Detective Kristen Hearne, 29, was killed while responding to a call about a stolen vehicle.

In an endearing gesture, the 3-year-old showed up at her funeral procession in cop superhero uniform and saluted every officer that passed by him, WSB-TV reported.

“Cohen has always looked up to police officers. He is so sweet and has always had the biggest heart,” said Cohen’s mother, Mandy Brooks Chastain. “He loves superheroes and thinks of police officers as real life superheroes.”

And while it’s tough to get a 3-year-old to sit still for five minutes, little Cohen was so moved by the event that he stood at attention, on a stool, for two hours.

“He made us so proud,” his mother said.

OFF-DUTY WEST VIRGINIA POLICE OFFICER WOUNDED IN SHOOTING

Cohen’s mother wasn’t the only one impressed by Cohen’s actions. The Floyd County Sherriff’s Office, where Hearne started her career, noticed little Cohen’s adorable salute and wanted to reward him for his dedication.

On Tuesday, the officers presented the 3-year-old with an electric toy police car, complete with flashing red and blue lights and a personalized “Deputy Cohen” sticker on the front. They also gave the family a framed photo of Cohen saluting at the procession.

Cohen excitedly drove his new toy and recited the pledge of allegiance, rousing applause and “good jobs!” from the officers.

“We wanted to bless Cohen for his selfless act of support and love,” The Floyd County Sherriff’s office wrote in a Facebook post. “But, once again, we were blessed by him beyond measure. God bless you abundantly and keep you safe Cohen!”

NYPD OFFICERS CHARGED IN ALLEGED RAPE

Chastain said her son was beyond excited about the recognition.

“He truly loves every single one of you,” she wrote in a Facebook comment. “He has not stopped talking about meeting everyone. He cannot wait to ride in his police car again tomorrow.”

The slain detective also had a 3-year-old son.",3-year-old named honorary deputy because of his adorable salute during fallen cop’s funeral,https://www.foxnews.com/us/2017/10/30/3-year-old-named-honorary-deputy-because-his-adorable-salute-during-fallen-cop-s-funeral.html
7,"['fox', 'watch', 'network', 'online', 'channel', 'business']",,,Watch Fox News Channel and Fox Business Network Online,http://video.foxnews.com/v/1241186546001
8,"['standard', 'backforever', 'dst', 'daylight', 'wont', 'saving', 'hour', 'fall', 'spring', 'sense', 'national', 'thats']","At 2 a.m. Sunday, daylight saving (not savings) time comes to an end for most Americans.
Author Michael Downing points out his book “Spring Forward: The Annual Madness of Daylight Saving Time” that farmers were the main group lobbying against the first peacetime imposition DST in 1966.
So I say, let’s have Congress – which hasn’t been able to agree on almost anything this year – pass a bill eliminating daylight saving time.
Some people might say that Daylight Saving is a hallowed national tradition.
The real origin of DST was World War I, when the Germans tried to squeeze an extra hour of daylight in the evenings, inadvertently forgetting that they would lose an hour of daylight in the mornings.","At 2 a.m. Sunday, daylight saving (not savings) time comes to an end for most Americans. Good riddance. Turns out it’s a lot like Justin Bieber – way overrated.

People think that farmers like DST, but that’s a myth. Author Michael Downing points out his book “Spring Forward: The Annual Madness of Daylight Saving Time” that farmers were the main group lobbying against the first peacetime imposition DST in 1966.

It seems farmers don’t like the later sunrise created by DST and dairy cows adjust poorly to moooving the clock.

But DST helps conserve energy, right? No, that’s another myth, burst by a study by the California Energy Commission that found a reduction in energy use under DST of less than two-tenths of 1 percent.

And National Geographic reported that a 2008 National Bureau of Economic Research study of DST in Indiana “found that lighting demand dropped, but the warmer hour of extra daylight tacked onto each evening led to more air-conditioning use, which canceled out the gains from reduced lighting and then some.” As a result, electric bills increased slightly under DST.

The real beneficiaries of DST are the charcoal and grill industry, which lobbied successfully to tack a seventh month on to DST, and the candy companies, which pushed Congress to add an eighth month so they could sell more mini-Kit Kats in the days before Halloween.

So I say, let’s have Congress – which hasn’t been able to agree on almost anything this year – pass a bill eliminating daylight saving time. And as a kicker, the bill could revoke Justin Bieber’s work permit and send him back to Canada.

Eliminating DST provides endless benefits – and not just for cows. You won’t have to struggle to figure out what time it is in Arizona or Hawaii, which don’t change their clocks.

The airlines will save hundreds of millions of dollars, because they won’t have to shift flights to handle the twin time changes in spring and fall.

Amtrak won’t have to pull its trains over to sidings in the fall (so they don’t arrive too early – and yes, they do that) or race to be on time in the spring.

Best of all, you won’t be an hour late for church or golf in March or an hour early in November. There’s always one guy who strolls in an hour late on the first Sunday of DST, oblivious to the time change, the cause of much snickering among people intelligent enough to spring ahead.

Childhood obesity will diminish, because kids will have an hour less to trick-or-treat. (OK, that’s wishful thinking.)

But on a serious note, the New York Times published an article in 2014 reporting that Swedish researchers found a 5 percent increase in the risk of heart attacks right after DST began, along with an increase in traffic accidents, workplace injuries and suicide rates. The problem is that while our body clocks can slowly adjust to seasonal changes in the amount of daylight, the sudden change when DST begins throws off our body rhythms.

Some people might say that Daylight Saving is a hallowed national tradition. Yes, Benjamin Franklin had the idea first, but when he wrote about it in 1784, he was in Paris and he meant it as a joke. He wrote a satirical piece about how the French could save 200,000 candles a year if they adopted his plan.

The French, of course, had no sense of humor, took Franklin seriously, and adopted the idea. They didn’t save any candles, but since everybody could see who was going to whose apartment, the rate of adultery may have dropped precipitously.

The real origin of DST was World War I, when the Germans tried to squeeze an extra hour of daylight in the evenings, inadvertently forgetting that they would lose an hour of daylight in the mornings. Maybe that’s why they lost.

America adopted DST in fits and starts, kept it going all year long (how can you tell?) during World War II, and finally made it national in 1966, unless a state opted out.

So it’s only as much of a tradition in this country as, say, expecting the Mets to be out of the pennant race by August.

While we’re at it, it’s time to realign time zones in the United States so they actually make sense. Who said time zones have to be vertical? They would actually make much more sense if the country were realigned as follows:

Have one time zone that encompasses most business and finance – the new Important Standard Time, which will stretch from Boston to New York, Philadelphia, Washington, Chicago, Denver, Salt Lake City, Dallas, and Los Angeles.

South of that will be Golf Standard Time.

Just north, Redwood Standard Time, which will separate Southern California from Northern California, which is what both halves of the state have always wanted anyway.

Sending Bieber back to Canada? Maybe that’s the only thing all Americans can agree on.",It's time for daylight saving time to fall back...forever,https://www.foxnews.com/opinion/2017/11/04/its-time-for-daylight-saving-time-to-fall-back-forever.html
9,"['working', 'episode', 'songs', 'making', 'worldsubscribe', 'online', 'audio', 'believable', 'young', 'write', 'artist', 'makebelieve', 'peppina']","At 15, the young artist would sit in her bedroom where she would write and post songs on HitRecord, an online production company founded by the actor and director Joseph Gordon-Levitt.
There she would attract the attention of artists around the globe, quickly becoming the most downloaded musician working on the site.
The producer, Brad Newman hosts this episode that follows a girl from a small island in Helsinki to the biggest stages in America.
As one of her songs suggests, Peppina ""makes make-believe believable.""
Pitch us an artist, or simply spread the word and find out more about the series.","Audio clip: Listen to audio clip.

In this episode, we meet Peppina, a Finnish singer/songwriter turned pop star who was afraid to share her music with her own community, so instead she went online and played her songs for the rest of the world.

Subscribe and download on your favorite podcast platform: Apple Podcasts, Google Play, Tune In, Stitcher.

At 15, the young artist would sit in her bedroom where she would write and post songs on HitRecord, an online production company founded by the actor and director Joseph Gordon-Levitt. There she would attract the attention of artists around the globe, quickly becoming the most downloaded musician working on the site.

The producer, Brad Newman hosts this episode that follows a girl from a small island in Helsinki to the biggest stages in America. As one of her songs suggests, Peppina ""makes make-believe believable.""

Like us on Facebook. Follow us on Twitter and Instagram. We want to know what you think. Pitch us an artist, or simply spread the word and find out more about the series. #childrenofsong",Peppina: Making Make-Believe Believable,https://radio.foxnews.com/2017/11/03/peppina-just-getting-started/
